commodity_code,description,duty_pct
02101930,Gezouten/gerookt vlees,0.0
02101940,Gezouten/gerookt vlees,0.0
02101950,Gezouten/gerookt vlees,0.0
02101960,Gezouten/gerookt vlees,0.0
02101970,Gezouten/gerookt vlees,0.0
02101981,Gezouten/gerookt vlees,0.0
02101989,Gezouten/gerookt vlees,0.0
02101990,Gezouten/gerookt vlees,15.4
02102010,Gezouten/gerookt vlees,15.4
02102090,Gezouten/gerookt vlees,15.4
02109100,Gezouten/gerookt vlees,15.4
02109210,Gezouten/gerookt vlees,15.4
02109291,Gezouten/gerookt vlees,0.0
02109292,Gezouten/gerookt vlees,15.4
02109299,Gezouten/gerookt vlees,15.4
02109300,Gezouten/gerookt vlees,15.4
02109910,Gezouten/gerookt vlees,6.4
02109921,Gezouten/gerookt vlees,0.0
02109929,Gezouten/gerookt vlees,0.0
02109931,Gezouten/gerookt vlees,15.4
02109939,Gezouten/gerookt vlees,0.0
02109941,Gezouten/gerookt vlees,0.0
02109949,Gezouten/gerookt vlees,0.0
02109951,Gezouten/gerookt vlees,15.4
02109959,Gezouten/gerookt vlees,12.8
02109971,Gezouten/gerookt vlees,0.0
02109979,Gezouten/gerookt vlees,6.4
02109985,Gezouten/gerookt vlees,15.4
02109990,Gezouten/gerookt vlees,15.4
03011100,Levende vis,0.0
03011900,Levende vis,7.5
03019110,Levende vis,8.0
03019190,Levende vis,12.0
03019210,Levende vis,0.0
03019230,Levende vis,0.0
03019290,Levende vis,0.0
03019300,Levende vis,8.0
03019410,Levende vis,16.0
03019490,Levende vis,16.0
03019500,Levende vis,16.0
03019911,Levende vis,2.0
03019917,Levende vis,8.0
03019985,Levende vis,16.0
03021110,Verse of gekoelde vis,8.0
03021120,Verse of gekoelde vis,12.0
03021180,Verse of gekoelde vis,12.0
03021300,Verse of gekoelde vis,2.0
03021400,Verse of gekoelde vis,2.0
03021900,Verse of gekoelde vis,8.0
03022110,Verse of gekoelde vis,8.0
03022130,Verse of gekoelde vis,8.0
03022190,Verse of gekoelde vis,15.0
03022200,Verse of gekoelde vis,7.5
03022300,Verse of gekoelde vis,15.0
03022400,Verse of gekoelde vis,15.0
03022910,Verse of gekoelde vis,15.0
03022980,Verse of gekoelde vis,15.0
03023110,Verse of gekoelde vis,0.0
03023190,Verse of gekoelde vis,22.0
03023210,Verse of gekoelde vis,0.0
03023290,Verse of gekoelde vis,22.0
03023310,Verse of gekoelde vis,0.0
03023390,Verse of gekoelde vis,22.0
03023410,Verse of gekoelde vis,0.0
03023490,Verse of gekoelde vis,22.0
03023511,Verse of gekoelde vis,0.0
03023519,Verse of gekoelde vis,22.0
03023591,Verse of gekoelde vis,0.0
03023599,Verse of gekoelde vis,22.0
03023610,Verse of gekoelde vis,0.0
03023690,Verse of gekoelde vis,22.0
03023920,Verse of gekoelde vis,0.0
03023980,Verse of gekoelde vis,22.0
03024100,Verse of gekoelde vis,15.0
03024200,Verse of gekoelde vis,15.0
03024310,Verse of gekoelde vis,23.0
03024330,Verse of gekoelde vis,15.0
03024390,Verse of gekoelde vis,13.0
03024400,Verse of gekoelde vis,20.0
03024510,Verse of gekoelde vis,15.0
03024530,Verse of gekoelde vis,15.0
03024590,Verse of gekoelde vis,15.0
03024600,Verse of gekoelde vis,15.0
03024700,Verse of gekoelde vis,15.0
03024911,Verse of gekoelde vis,0.0
03024919,Verse of gekoelde vis,22.0
03024990,Verse of gekoelde vis,15.0
03025110,Verse of gekoelde vis,12.0
03025190,Verse of gekoelde vis,12.0
03025200,Verse of gekoelde vis,7.5
03025300,Verse of gekoelde vis,7.5
03025411,Verse of gekoelde vis,15.0
03025415,Verse of gekoelde vis,15.0
03025419,Verse of gekoelde vis,15.0
03025490,Verse of gekoelde vis,15.0
